,timestamp,x,y,z,time
652,599620915332,-85,123,-1024,3291
653,599620915337,-84,120,-1025,3296
654,599620915342,-82,123,-1022,3301
655,599620915347,-84,118,-1022,3306
656,599620915352,-82,120,-1020,3311
657,599620915357,-82,125,-1020,3316
658,599620915362,-81,123,-1018,3321
659,599620915367,-81,122,-1019,3326
660,599620915372,-83,123,-1022,3331
661,599620915377,-82,122,-1021,3336
662,599620915382,-77,122,-1023,3341
663,599620915387,-81,122,-1019,3346
664,599620915392,-86,125,-1015,3351
665,599620915397,-84,121,-1025,3356
666,599620915402,-84,125,-1025,3361
667,599620915407,-85,127,-1021,3366
668,599620915412,-83,126,-1019,3371
669,599620915417,-84,123,-1020,3376
670,599620915422,-83,124,-1023,3381
671,599620915427,-83,117,-1017,3386
672,599620915432,-84,122,-1021,3391
673,599620915437,-84,123,-1021,3396
674,599620915442,-83,123,-1021,3401
675,599620915447,-83,124,-1023,3406
676,599620915452,-83,125,-1024,3411
677,599620915457,-85,124,-1021,3416
678,599620915462,-82,126,-1029,3421
679,599620915467,-83,124,-1021,3426
680,599620915472,-83,127,-1023,3431
681,599620915477,-86,125,-1024,3436
682,599620915482,-84,123,-1019,3441
683,599620915487,-85,124,-1022,3446
684,599620915494,-84,125,-1021,3453
685,599620915499,-84,125,-1024,3458
686,599620915504,-84,123,-1019,3463
687,599620915509,-82,126,-1025,3468
688,599620915514,-85,125,-1023,3473
689,599620915519,-86,124,-1022,3478
690,599620915524,-84,121,-1020,3483
691,599620915529,-86,123,-1024,3488
692,599620915534,-86,123,-1025,3493
693,599620915539,-81,125,-1021,3498
694,599620915544,-88,122,-1022,3503
695,599620915549,-83,125,-1024,3508
696,599620915554,-82,121,-1025,3513
697,599620915559,-84,124,-1023,3518
698,599620915564,-82,126,-1024,3523
699,599620915569,-84,123,-1020,3528
700,599620915574,-80,126,-1021,3533
701,599620915579,-82,127,-1026,3538
702,599620915584,-83,125,-1021,3543
703,599620915589,-82,123,-1021,3548
704,599620915594,-86,123,-1023,3553
705,599620915599,-82,123,-1021,3558
706,599620915604,-82,123,-1025,3563
707,599620915609,-84,125,-1023,3568
708,599620915614,-80,125,-1023,3573
709,599620915619,-81,121,-1026,3578
710,599620915624,-83,123,-1021,3583
711,599620915629,-81,123,-1023,3588
712,599620915634,-84,122,-1020,3593
713,599620915639,-83,123,-1023,3598
714,599620915644,-80,125,-1023,3603
715,599620915649,-81,121,-1020,3608
716,599620915654,-84,119,-1023,3613
717,599620915659,-84,116,-1021,3618
718,599620915664,-81,120,-1020,3623
719,599620915669,-81,124,-1020,3628
720,599620915676,-80,124,-1024,3635
721,599620915681,-83,124,-1024,3640
722,599620915686,-83,124,-1025,3645
723,599620915691,-83,124,-1022,3650
724,599620915696,-83,125,-1029,3655
725,599620915701,-81,125,-1021,3660
726,599620915706,-82,122,-1019,3665
727,599620915711,-83,123,-1027,3670
728,599620915716,-84,122,-1023,3675
729,599620915721,-85,126,-1028,3680
730,599620915726,-82,123,-1023,3685
731,599620915731,-81,125,-1023,3690
732,599620915736,-80,124,-1024,3695
733,599620915741,-84,124,-1020,3700
734,599620915746,-84,121,-1016,3705
735,599620915751,-82,120,-1018,3710
736,599620915756,-84,122,-1023,3715
737,599620915761,-85,122,-1021,3720
738,599620915766,-78,125,-1024,3725
739,599620915771,-86,127,-1020,3730
740,599620915776,-84,126,-1025,3735
741,599620915781,-82,131,-1031,3740
742,599620915786,-84,123,-1022,3745
743,599620915791,-85,122,-1025,3750
744,599620915796,-85,121,-1020,3755
745,599620915801,-81,123,-1018,3760
746,599620915806,-80,128,-1028,3765
747,599620915811,-83,125,-1029,3770
748,599620915816,-87,124,-1026,3775
749,599620915821,-87,127,-1024,3780
750,599620915826,-84,127,-1016,3785
751,599620915831,-79,124,-1025,3790
752,599620915836,-80,124,-1029,3795
753,599620915841,-84,124,-1024,3800
754,599620915846,-80,122,-1022,3805
755,599620915851,-82,129,-1027,3810
756,599620915858,-80,128,-1029,3817
757,599620915863,-81,127,-1025,3822
758,599620915868,-82,127,-1024,3827
759,599620915873,-82,126,-1023,3832
760,599620915878,-85,123,-1024,3837
761,599620915883,-83,125,-1018,3842
762,599620915888,-84,119,-1019,3847
763,599620915893,-83,122,-1020,3852
764,599620915898,-84,122,-1016,3857
765,599620915903,-86,120,-1019,3862
766,599620915908,-82,120,-1015,3867
767,599620915913,-84,127,-1018,3872
768,599620915918,-84,123,-1020,3877
769,599620915923,-81,121,-1021,3882
770,599620915928,-82,119,-1021,3887
771,599620915933,-83,118,-1019,3892
772,599620915938,-84,122,-1023,3897
